6, 3, 2, 2021-05-19 20:32:14
5, 5, 1, 2021-05-19 20:34:33
6, 5, 0, 2021-05-19 20:35:04
7, 3, 1, 2021-05-19 20:41:29
7, 3, 1, 2021-05-19 20:42:04
5, 5, 1, 2021-05-19 20:55:37
5, 6, 0, 2021-05-19 20:56:06
8, 1, 2, 2021-05-19 21:02:55
8, 1, 2, 2021-05-19 21:03:32
5, 5, 1, 2021-05-19 21:04:16
8, 3, 0, 2021-05-19 21:04:44
7, 3, 1, 2021-05-19 21:05:05
7, 3, 1, 2021-05-19 21:08:10
8, 3, 0, 2021-05-19 21:09:06
7, 3, 1, 2021-05-19 21:09:40
6, 4, 1, 2021-05-19 21:10:12
7, 2, 2, 2021-05-19 21:10:39
4, 7, 0, 2021-05-19 21:11:32
1, 0, 0, 2021-05-19 21:11:52
1, 0, 0, 2021-05-19 21:12:04
6, 3, 2, 2021-05-19 21:17:01
8, 3, 0, 2021-05-19 21:17:46
1, 0, 0, 2021-05-19 21:18:15
1, 0, 0, 2021-05-19 21:18:25
1, 0, 0, 2021-05-19 21:18:43
1, 0, 0, 2021-05-19 21:18:54
1, 0, 0, 2021-05-19 21:19:04
1, 0, 0, 2021-05-19 21:19:15
7, 4, 0, 2021-05-19 21:19:54
8, 3, 0, 2021-05-19 21:22:40
5, 4, 2, 2021-05-19 21:23:10
9, 2, 0, 2021-05-19 21:23:56
9, 2, 0, 2021-05-19 21:24:36
7, 3, 1, 2021-05-19 21:25:11
0, 1, 0, 2021-05-19 21:26:05
1, 0, 0, 2021-05-19 21:26:16
0, 1, 0, 2021-05-19 21:26:25
0, 1, 0, 2021-05-19 21:26:34
8, 3, 0, 2021-05-19 21:27:20
9, 2, 0, 2021-05-19 21:27:47
7, 3, 1, 2021-05-19 21:28:11
7, 3, 1, 2021-05-19 21:28:42
8, 3, 0, 2021-05-19 21:29:12
4, 4, 3, 2021-05-19 21:29:58
7, 4, 0, 2021-05-19 21:30:57
0, 1, 0, 2021-05-19 21:31:44
1, 0, 0, 2021-05-19 21:31:54
0, 1, 0, 2021-05-19 21:32:04
1, 0, 0, 2021-05-19 21:32:15
6, 5, 0, 2021-05-19 21:33:01
7, 3, 1, 2021-05-19 21:33:39
7, 4, 0, 2021-05-19 21:34:11
7, 3, 1, 2021-05-19 21:36:40
7, 4, 0, 2021-05-19 21:37:12
1, 0, 0, 2021-05-19 21:37:47
